Cell_Designation,Time_Point,Polarity_Patch_Number,Polarity_Patch_Number_2
rcc096_1_s1_g,29,NA,Fusion
rcc096_1_s1_g,30,NA,Fusion
rcc096_1_s1_g,31,NA,Fusion
rcc096_1_s1_g,32,NA,Fusion
rcc096_1_s1_g,33,NA,Fusion
rcc096_1_s1_g,34,NA,Fusion
rcc096_1_s1_g,35,NA,Fusion
rcc096_1_s1_g,36,NA,Fusion
rcc096_1_s1_g,37,NA,Fusion
rcc096_1_s1_g,38,NA,Fusion
rcc096_1_s1_g,39,NA,Fusion
rcc096_1_s1_g,40,NA,Fusion
rcc096_1_s1_g,41,NA,Fusion
rcc096_1_s1_g,42,NA,Fusion
rcc096_1_s1_g,43,NA,Fusion
rcc096_1_s1_g,44,NA,Fusion
rcc096_1_s1_g,45,NA,Fusion
rcc096_1_s1_g,46,NA,Fusion
rcc096_1_s1_g,47,NA,Fusion
rcc096_1_s1_g,48,NA,Fusion
rcc096_1_s1_g,49,NA,Fusion
rcc096_1_s1_g,50,NA,Fusion
rcc096_1_s1_g,51,NA,Fusion
rcc096_1_s1_g,52,NA,Fusion
rcc096_1_s1_g,53,NA,Fusion
rcc096_1_s1_g,54,NA,Fusion
rcc096_1_s1_g,55,NA,Fusion
rcc096_1_s1_g,56,NA,Fusion
rcc096_1_s1_g,57,NA,Fusion
rcc096_1_s1_g,58,NA,Fusion
rcc096_1_s1_g,59,NA,Fusion
rcc096_1_s1_g,60,NA,Fusion
rcc096_1_s1_g,61,NA,Fusion
rcc096_1_s1_h,1,NA,Birth
rcc096_1_s1_h,2,NA,Birth
rcc096_1_s1_h,3,NA,Birth
rcc096_1_s1_h,4,NA,Birth
rcc096_1_s1_h,5,NA,Birth
rcc096_1_s1_h,6,NA,Birth
rcc096_1_s1_h,7,NA,Birth
rcc096_1_s1_h,8,NA,Birth
rcc096_1_s1_h,9,NA,Birth
rcc096_1_s1_h,10,NA,Birth
rcc096_1_s1_h,11,NA,Birth
rcc096_1_s1_h,12,NA,Birth
rcc096_1_s1_h,13,NA,Birth
rcc096_1_s1_h,14,NA,Birth
rcc096_1_s1_h,15,NA,Birth
rcc096_1_s1_h,16,NA,Birth
rcc096_1_s1_h,17,NA,Birth
rcc096_1_s1_h,18,NA,Birth
rcc096_1_s1_h,19,NA,Birth
rcc096_1_s1_h,20,NA,Birth
rcc096_1_s1_h,21,0,0
rcc096_1_s1_h,22,0,0
